Algorithm,Matrix Size,Execution Time
Standard,512,32.652998208999634
Strassen w/o Crossover,512,122.59525418281555
Winograd w/o Crossover,512,126.6982970237732
Strassen w/Crossover n_0=5,512,17.587260007858276
Winograd w/Crossover n_0=5,512,17.793843984603882
Strassen w/Crossover n_0=6,512,17.47964596748352
Winograd w/Crossover n_0=6,512,17.78052282333374
Strassen w/Crossover n_0=7,512,17.55195713043213
Winograd w/Crossover n_0=7,512,17.892353057861328
Strassen w/Crossover n_0=8,512,15.76106595993042
Winograd w/Crossover n_0=8,512,15.855701208114624
Strassen w/Crossover n_0=9,512,15.852715015411377
Winograd w/Crossover n_0=9,512,15.866402864456177
Strassen w/Crossover n_0=10,512,15.940505027770996
Winograd w/Crossover n_0=10,512,15.865943193435669
Strassen w/Crossover n_0=11,512,15.789884805679321
Winograd w/Crossover n_0=11,512,15.857316017150879
Strassen w/Crossover n_0=12,512,15.818045854568481
Winograd w/Crossover n_0=12,512,15.779589891433716
Strassen w/Crossover n_0=13,512,15.81176495552063
Winograd w/Crossover n_0=13,512,15.78954005241394
Strassen w/Crossover n_0=14,512,15.92950987815857
Winograd w/Crossover n_0=14,512,15.799962997436523
Strassen w/Crossover n_0=15,512,15.767693758010864
Winograd w/Crossover n_0=15,512,15.816333055496216
Strassen w/Crossover n_0=16,512,16.874298810958862
Winograd w/Crossover n_0=16,512,16.82268500328064
Strassen w/Crossover n_0=17,512,16.892634868621826
Winograd w/Crossover n_0=17,512,16.93271017074585
Strassen w/Crossover n_0=18,512,16.888962745666504
Winograd w/Crossover n_0=18,512,16.88829803466797
Strassen w/Crossover n_0=19,512,16.91740322113037
Winograd w/Crossover n_0=19,512,16.924202919006348
Strassen w/Crossover n_0=20,512,16.840279817581177
Winograd w/Crossover n_0=20,512,16.88116693496704
Strassen w/Crossover n_0=21,512,16.932421922683716
Winograd w/Crossover n_0=21,512,16.903944969177246
Strassen w/Crossover n_0=22,512,16.86609673500061
Winograd w/Crossover n_0=22,512,16.885688066482544
Strassen w/Crossover n_0=23,512,16.832335948944092
Winograd w/Crossover n_0=23,512,16.89377999305725
Strassen w/Crossover n_0=24,512,16.77863311767578
Winograd w/Crossover n_0=24,512,16.86086869239807
Strassen w/Crossover n_0=25,512,17.082174062728882
Winograd w/Crossover n_0=25,512,16.893661975860596
Strassen w/Crossover n_0=26,512,16.95330309867859
Winograd w/Crossover n_0=26,512,16.944071292877197
Strassen w/Crossover n_0=27,512,16.80591583251953
Winograd w/Crossover n_0=27,512,16.88308811187744
Strassen w/Crossover n_0=28,512,16.79977512359619
Winograd w/Crossover n_0=28,512,16.876035928726196
